id,title,description,type,difficulty,target_reps,images,instructions,scheduled_days,is_active,created_at,category,session_slot
03beb83d-ff26-48b1-b328-209b0b8668ab,Rzuty wolne,Trening mentalny i techniczny. 100 wolnych pod presją czasu.,shooting_ft,1,100,[],"[""Stań na linii rzutów wolnych."",""Rutyna: 2 kozłowania, głęboki oddech, rzut."",""Nie spiesz się – skup na rutynie."",""Wykonaj 100 rzutów wolnych.""]","[1,2,3,4,5,6,7]",true,2026-04-08 23:24:01.943235+00,shooting,1
12f4cc65-89e1-48e3-ac87-d4ab83c708aa,Pick & roll czytanie,Pick & roll to najczęściej używana akcja w NBA. Musisz umieć ją czytać i rozgrywać z obu pozycji. Chris Paul i Deron Williams budowali kariery na perfekcyjnym P&R.,fitness,4,30,[],"[""Dribbler: kozłujesz w kierunku partnera, on ustawia screen, ty czytasz obrońcę."",""Jeśli obrońca idzie z tobą nad screenem: daj piłkę do screener na pop lub roll."",""Jeśli obrońca zostaje pod screenem: pull-up jumper z miejsca screena."",""Jeśli help defense: skip pass do otwartego strzelca na obwodzie."",""Screener: po ustawieniu screena czytaj obrońcę — roll (wbiegnij pod kosz) lub pop (wróć za łuk)."",""Ćwicz każdy wariant 10 razy — najpierw bez obrony, potem z pasywnym obrońcą."",""Komunikacja z partnerem: mów co widzisz — \""roll!\"", \""pop!\"", \""kick out!\""""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,athleticism,1
17b32dc5-e1c8-4716-b5e0-e9f0ae909e25,Midrange — post-up i fade away,"Rzuty z średniej odległości z pleców do kosza — styl Koby Bryanta. Oparcie o obrońcę, obrót i rzut. Niedoceniany element gry który wraca do łask w NBA.",shooting_2pt,4,50,[],"[""Stań tyłem do kosza na linii free throw lub pod kątem 45°."",""Symuluj przyjęcie piłki z pleców do kosza, poczuj gdzie jest obrońca."",""Pivot na stopie — obrót do rzutu, wybierz stronę słabszej ręki obrońcy."",""Fade away: przy obrocie lekko odskoczyć w tył — trudniejszy do zablokowania."",""Rzut na szczycie fade away — gdy jesteś najdalej od obrońcy."",""Ćwicz obrót w obie strony z równą częstotliwością.""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,shooting,1
2736cfda-95bf-4f5d-8dd9-777a4d10c4b0,Core stability — środek ciężkości,"Silny core to podstawa wszystkiego w koszykówce — równowaga przy kontakcie, stabilność przy rzucie, siła przy walce pod koszem. Każdy zawodnik NBA ma nieludzki core.",fitness,2,40,[],"[""Plank: 3 x 60 sekund. Ciało w linii prostej, nie unoś bioder, nie opuszczaj głowy."",""Side plank: 2 x 45 sekund każda strona — bok ciała w linii prostej."",""Dead bug: leżysz na plecach, naprzemiennie wyciągasz rękę i nogę — 15 razy każda strona."",""Russian twist z piłką: skręty tułowia trzymając piłkę — 20 skrętów."",""Pallof press (z gumą lub hantlem): trzymaj obciążenie przed klatką, nie daj się obrócić — 10 razy każda strona."",""Basketball sit-ups: siad z piłką nad głową, wstań rzucając piłkę o ścianę — 10 razy."",""Każde ćwiczenie wykonuj powoli i kontrolowanie — szybkość nie ma tutaj znaczenia.""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,athleticism,1
29918de5-0dbd-4d43-a6ae-bb015fea2e70,Finishing at the rim — wykończenie przy koszu,"Trafianie przy koszu mimo kontaktu i zmiany toru przez obrońców. Giannis, Embiid, Bam Adebayo — mistrzowie wykończenia przy obręczy używają dziesiątek różnych ruchów.",shooting_2pt,4,40,[],"[""Power layup: wejście z kontaktem, dwa mocne kroki, wybicie oburącz — 10 razy."",""Reverse layup: wchodzisz z prawej strony, obracasz się i kładziesz piłkę z lewej strony obręczy — 10 razy."",""Euro step: dwa kroki w prawo potem w lewo (lub odwrotnie) omijając obrońcę — 10 razy."",""Off-glass: kłaść piłkę o tablicę pod kątem — 5 razy z prawej, 5 z lewej."",""Contact finishing: poproś kogoś o lekki kontakt przy wejściu — przyzwyczaj się do kończenia mimo uderzenia."",""Kluczowe: nie bój się kontaktu — szukaj go, wymuszaj faule."",""Zawsze kończyj z zamkniętymi oczami przez tydzień — budujesz czucie pozycji.""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,shooting,1
29ca4b0c-c473-4859-a9c3-a080b0f1c089,Cone dribbling — slalom agility,Slalom przez 6-8 pachołków ustawionych w linii prostej co 1.5 metra. Ćwiczy zmianę kierunku z piłką w pełnym tempie — kluczowe przy obrońcy który blokuje drogę.,dribbling,3,20,[],"[""Ustaw 6 pachołków (lub butelki wody) w linii, co 1.5m."",""Wejdź w slalom prawą ręką — omijasz pachołki z prawej i lewej strony."",""Na powrocie: lewa ręka."",""Kolejny przebieg: crossover przy każdym pachołku."",""Kolejny przebieg: between the legs przy każdym pachołku."",""Kolejny przebieg: jak najszybciej możesz, dowolne ruchy."",""Wykonaj 20 pełnych przejazdów (tam i z powrotem = 2)."",""Mierz czas — śledź postęp co tydzień.""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,dribbling,1
2ba19883-98a5-4535-b279-58317c3bf5c7,Jump rope — skakanka NBA,"Skakanka to sekret kondycji wielu zawodników NBA — Kobe Bryant zaczynał każdy trening od 10 minut skakanki. Buduje koordynację stóp, kondycję sercowo-naczyniową i rytm skoku.",fitness,2,300,[],"[""Dwunożne skoki: podstawowy rytm, 100 skoków bez potknięcia — zacznij tutaj."",""Naprzemienne nogi: jak bieg w miejscu ze skakanką — 100 skoków."",""High knees: kolana wysoko przy każdym skoku — 50 skoków."",""Double unders: skakanka dwa razy pod stopami przy jednym skoku — trudne, zacznij od 10."",""Boks step: nogi rozstawione na boki przy każdym skoku — 50 skoków."",""Tempo: zacznij wolno przez tydzień, potem przyspieszaj."",""Cel na 3 miesiące: 5 minut ciągłego skakania bez potknięcia.""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,athleticism,1
30e5da79-a77b-4ce7-aa15-d420fc9391fb,Rozciąganie statyczne,Regeneracja mięśni po treningu.,fitness,1,,[],"[""Rozciąganie czworogłowego – 30s każda noga."",""Rozciąganie łydek przy ścianie – 30s."",""Skłony do podłogi – 60 sekund."",""Rozciąganie klatki piersiowej – 30s.""]","[1,2,3,4,5,6,7]",true,2026-04-11 19:44:42.761361+00,recovery,1
326aaf15-f1de-4b6f-9480-e9eeb6fbf0a1,Lateral quickness — obrona i poruszanie się,Szybkość boczna to fundament obrony i ofensywy. Steph Curry jest niesamowity nie tylko przez rzuty — jego lateral movement pozwala mu uciekać spod obrony na pieszych screenach.,fitness,3,60,[],"[""Defensive shuffle: w obrończej postawie (nisko) — shuffle w prawo 5 kroków, wróć — 15 razy."",""Icky shuffle przez drabinkę (lub wyobrażoną): szybkie naprzemienne wkładanie nóg."",""T-drill: sprint prosto 5m, w prawo 5m, w lewo 10m, w prawo 5m, z powrotem — 5 razy."",""Close-out drill: sprint do obrońcy, zatrzymanie w obrończej postawie na 1m — 10 razy."",""Lateral hurdle hops: przeskakiwanie boczne nad przeszkodą (10cm) — 20 razy każda strona."",""Mirror drill z partnerem: jeden się rusza, drugi odbija jak lustro — 5x po 30 sekund."",""Mierz czas T-drilla co tydzień — cel poniżej 10 sekund.""]","[1,2,3,4,5,6,7]",true,2026-04-10 10:34:17.314743+00,athleticism,1
36718a6e-eae7-4f44-90a1-119134f5d51f,Trójki z narożnika,Klasyczne trójki z prawego i lewego narożnika boiska. Skup się na powtarzalności gestu.,shooting_3pt,2,150,[],"[""Ustaw się w narożniku linii trójpunktowej."",""Przyjmij niskie ustawienie – nogi szeroko, kolana ugięte."",""Weź 5 oddechów i skupia się na tarczy."",""Wykonaj 150 rzutów: 75 z prawej, 75 z lewej."",""Zapisuj każdy rzut w aplikacji.""]","[1,3,5]",true,2026-04-08 23:24:01.943235+00,shooting,1
